jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence
10,,11:00,0,0,0,0,0,0,0,0,0,0,0,0
10,11:00,11:20,0,0,0,0,0,2,1,0,0,0,0,1
10,11:20,11:30,0,1,0,0,0,23,0,0,9,0,6,8
10,11:30,11:30,0,0,0,0,0,1,0,0,0,0,1,0
10,11:30,11:40,0,0,0,0,0,20,0,0,8,0,8,4
10,11:40,11:47,1,0,0,0,0,25,0,0,11,0,12,2
10,11:47,11:56,0,0,0,0,0,0,0,0,0,0,0,0
10,11:56,11:59,1,0,1,1,0,15,5,0,1,1,4,4
10,11:59,12:30,0,0,0,0,0,0,0,0,0,0,0,0
10,12:30,12:55,0,0,0,0,0,0,0,0,0,0,0,0
10,12:55,14:30,0,0,1,1,0,33,5,0,11,1,11,5
10,14:30,12:57,1,0,0,0,0,0,0,0,0,0,0,0
10,12:57,14:30,0,0,0,0,0,0,0,0,0,0,0,0
10,14:30,14:44,0,0,0,0,0,0,0,0,0,0,0,0
10,14:44,14:48,1,0,2,1,0,29,10,0,3,2,7,7
10,14:48,14:54,0,0,0,0,0,0,0,0,0,0,0,0
10,14:54,15:00,0,1,1,0,1,30,5,0,5,1,8,11
10,15:00,15:10,0,2,1,0,1,56,5,0,20,1,17,13
10,15:10,15:11,1,0,0,0,0,18,0,2,8,0,5,3
10,15:11,15:25,0,0,0,0,0,0,0,0,0,0,0,0
10,15:25,15:30,0,0,3,2,0,43,15,0,7,3,9,9
10,15:30,15:30,0,0,0,0,0,1,0,0,1,0,0,0
10,15:30,15:40,0,0,4,0,0,65,23,0,11,5,13,13
10,15:40,15:50,0,0,0,0,0,17,0,0,3,0,10,4
10,15:50,15:51,1,0,0,0,0,5,0,0,2,0,1,2
10,15:51,16:01,0,0,0,0,0,0,0,0,0,0,0,0
10,16:01,16:10,0,0,2,2,0,43,10,1,11,2,13,6
10,16:10,16:20,1,0,0,0,0,35,0,2,16,0,16,1
10,16:20,16:30,0,0,0,0,0,0,0,0,0,0,0,0
10,16:30,16:42,0,0,0,0,0,0,0,0,0,0,0,0
10,16:42,16:50,0,0,0,0,0,6,0,1,1,0,1,3
10,16:50,17:00,0,0,0,0,0,12,0,3,3,0,6,0
10,17:00,17:10,0,0,0,0,0,8,0,0,3,0,2,3
10,17:10,17:20,0,0,1,0,0,21,4,0,5,1,6,5
10,17:20,17:30,0,0,3,0,1,74,16,8,15,3,19,13
10,17:30,17:30,0,0,0,0,0,1,0,0,0,0,1,0
10,17:30,4:50,0,0,0,0,0,17,0,6,3,0,8,0
10,4:50,17:40,0,0,0,0,0,15,0,6,1,0,8,0
10,17:40,17:50,0,1,1,1,0,56,5,12,8,1,22,8
10,17:50,17:51,1,0,0,0,0,15,0,0,7,0,7,1
10,17:51,18:00,0,0,0,0,0,0,0,0,0,0,0,0
10,18:00,18:13,0,0,0,0,0,0,0,0,0,0,0,0
10,18:13,18:20,0,0,4,1,0,58,20,3,7,4,15,9
10,18:20,18:30,0,0,3,1,0,72,15,14,6,3,23,11
10,18:30,18:30,0,0,0,0,0,0,0,0,0,0,0,0
10,18:30,,0,0,0,0,0,2,0,0,1,0,0,1
