jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence
9,,14:30,0,0,0,0,0,0,0,0,0,0,0,0
9,14:30,14:40,0,0,0,0,0,3,1,0,0,0,0,2
9,14:40,14:50,0,0,1,1,0,31,5,0,9,1,9,7
9,14:50,15:00,0,0,1,0,0,53,5,9,12,1,17,9
9,15:00,15:1,1,0,0,0,0,9,0,0,1,0,6,2
9,15:1,15:3,0,0,0,0,0,0,0,0,0,0,0,0
9,15:3,15:10,0,0,1,1,0,32,5,5,4,1,11,6
9,15:10,15:20,0,0,0,0,0,16,0,2,5,0,7,2
9,15:20,15:30,0,0,0,0,0,61,0,7,22,0,28,4
9,15:30,15:30,0,0,0,0,0,1,0,0,0,0,1,0
9,15:30,15:39,1,0,2,0,0,38,10,2,25,0,1,0
9,15:39,15:47,0,0,0,0,0,0,0,0,0,0,0,0
9,15:47,15:50,0,0,2,1,0,19,10,0,9,0,0,0
9,15:50,15:53,1,0,0,0,0,4,0,0,4,0,0,0
9,15:53,15:54,0,0,0,0,0,0,0,0,0,0,0,0
9,15:54,16:00,0,0,0,0,0,2,0,0,2,0,0,0
9,16:00,16:10,0,0,0,0,0,18,0,2,6,0,7,3
9,16:10,16:20,0,0,0,0,0,14,0,2,3,0,6,3
9,16:20,16:25,1,0,0,0,0,6,0,0,2,0,1,3
9,16:25,17:00,0,0,0,0,0,0,0,0,0,0,0,0
9,17:00,17:10,0,1,2,0,0,61,10,1,19,2,20,9
9,17:10,17:20,0,0,1,0,0,36,0,4,12,0,17,3
9,17:20,17:30,0,0,1,0,0,63,10,3,18,2,22,8
9,17:30,17:30,0,0,0,0,0,1,0,0,1,0,0,0
9,17:30,17:40,0,0,2,0,0,73,10,3,20,2,25,13
9,17:40,17:50,0,0,0,0,0,16,5,0,4,1,3,3
9,17:50,18:00,0,0,0,0,0,28,0,4,11,0,10,3
9,18:00,18:7,1,0,0,0,0,12,0,0,6,0,5,1
9,18:7,18:28,0,0,0,0,0,0,0,0,0,0,0,0
9,18:28,,0,0,2,0,0,23,10,0,2,2,5,4
