jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence,nb_interventions_PLQ,nb_interventions_QS,nb_interventions_PQ
1,,9:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9:30,9:40,0,0,0,0,0,4,1,0,1,0,0,2,0,0,0
1,9:40,9:50,0,0,0,0,0,6,0,0,0,0,3,3,3,0,0
1,9:50,10:00,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1,10:00,10:02,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,10:02,10:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10:19,10:20,0,0,0,0,0,4,0,0,0,0,1,3,0,0,1
1,10:20,10:30,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0
1,10:30,10:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10:30,10:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10:40,10:43,1,0,0,0,0,3,0,0,0,0,1,2,1,0,0
1,10:43,10:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10:49,10:50,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,10:50,11:00,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1,11:00,11:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11:10,11:15,1,0,1,0,0,24,4,0,2,1,7,10,7,0,0
1,11:15,11:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11:21,11:30,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0
1,11:30,11:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11:30,11:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11:40,11:50,0,0,0,0,0,4,0,0,0,0,2,2,2,0,0
1,11:50,11:59,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,11:59,15:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15:30,15:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15:51,16:00,0,0,1,0,0,32,4,0,7,1,7,13,7,0,0
1,16:00,16:10,0,0,0,0,0,7,0,0,3,0,2,2,2,0,0
1,16:10,16:20,0,0,0,0,0,38,0,3,15,0,13,7,13,0,0
1,16:20,16:30,0,0,0,0,0,11,0,0,4,0,5,2,4,1,0
1,16:30,16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16:30,16:36,1,0,0,0,0,6,0,0,1,0,2,3,0,2,0
1,16:36,16:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16:47,16:50,0,0,0,0,0,7,0,0,1,0,2,4,0,2,0
1,16:50,16:56,1,0,0,0,0,9,0,1,2,0,2,4,2,0,0
1,16:56,17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17:00,17:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17:05,17:06,1,0,0,0,0,5,0,0,1,0,1,3,1,0,0
1,17:06,17:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17:08,17:10,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0
1,17:10,17:20,0,0,2,0,1,19,5,0,3,1,4,6,2,2,0
1,17:20,17:22,1,0,0,1,0,13,5,0,1,1,4,2,3,1,0
1,17:22,17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17:30,17:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17:41,17:50,0,2,1,1,0,56,5,5,6,1,19,20,11,8,0
1,17:50,18:00,0,0,0,0,0,14,0,4,0,0,8,2,8,0,0
1,18:00,18:10,0,0,0,0,0,27,0,2,9,0,9,7,9,0,0
1,18:10,18:20,0,0,0,0,0,29,0,4,8,0,11,6,11,0,0
1,18:20,18:30,0,0,0,0,0,26,0,5,8,0,12,1,12,0,0
1,18:30,18:30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,18:30,18:40,0,0,0,0,0,14,0,0,6,0,7,1,7,0,0
1,18:40,18:50,0,0,0,0,0,26,0,0,12,0,12,2,12,0,0
1,18:50,,0,0,0,0,0,32,0,0,15,0,13,4,13,0,0
2,,14:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14:30,14:40,0,0,0,0,0,4,1,0,0,0,1,2,1,0,0
2,14:40,14:50,0,0,0,0,0,22,0,4,6,0,7,5,7,0,0
2,14:50,15:00,0,0,0,0,0,26,0,0,12,0,12,2,12,0,0
2,15:00,15:10,0,0,0,0,0,4,0,0,2,0,2,0,2,0,0
2,15:10,15:20,0,0,0,0,0,5,0,0,2,0,1,2,1,0,0
2,15:20,15:30,0,0,0,0,0,19,0,1,9,0,8,1,8,0,0
2,15:30,15:30,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,15:30,15:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,15:36,15:40,0,0,0,0,0,5,0,0,1,0,2,2,2,0,0
2,15:40,15:50,0,0,0,0,0,30,0,1,14,0,13,2,13,0,0
2,15:50,16:00,0,0,0,0,0,5,0,0,2,0,2,1,2,0,0
2,16:00,16:10,0,0,0,0,0,30,0,2,15,0,10,3,10,0,0
2,16:10,16:20,0,0,0,0,0,11,0,0,3,0,5,3,5,0,0
2,16:20,16:30,0,0,0,0,0,26,0,0,12,0,12,2,12,0,0
2,16:30,16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16:30,16:39,1,0,0,0,0,6,0,0,1,0,2,3,2,0,0
2,16:39,16:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16:59,17:00,0,0,0,0,0,4,0,0,0,0,2,2,2,0,0
2,17:00,17:10,0,0,0,0,0,4,0,0,1,0,1,2,1,0,0
2,17:10,17:20,0,0,0,0,0,4,0,1,2,0,0,1,0,0,0
2,17:20,17:30,0,0,0,0,0,11,0,0,4,0,2,5,2,0,0
2,17:30,17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17:30,17:39,1,0,0,0,0,11,0,0,5,0,4,2,4,0,0
2,17:39,10:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10:49,17:50,0,0,0,0,0,3,0,0,0,0,1,2,1,0,0
2,17:50,17:59,1,0,0,0,0,8,0,0,0,0,4,4,4,0,0
2,17:59,18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,18:00,18:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,18:06,18:10,0,0,0,0,0,10,0,0,2,0,3,5,3,0,0
2,18:10,18:16,1,0,0,1,0,3,0,0,0,0,1,2,1,0,0
2,18:16,18:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,18:18,18:20,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0
