jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence,nb_interventions_PLQ,nb_interventions_QS,nb_interventions_PQ
7,,11:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11:30,11:40,0,0,0,0,0,4,1,0,0,0,1,2,1,0,0
7,11:40,11:50,0,0,0,0,0,24,0,1,5,0,9,9,1,8,0
7,11:50,12:00,0,0,0,0,0,20,0,4,5,0,6,5,0,6,0
7,12:00,12:10,0,0,0,0,0,37,0,2,15,0,17,3,16,1,0
7,12:10,12:20,0,1,2,1,0,67,10,1,22,2,26,6,20,6,0
7,12:20,12:30,0,0,0,0,0,14,0,3,3,0,6,2,5,1,0
7,12:30,12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,12:30,12:40,0,0,0,0,0,18,0,0,8,0,9,1,0,9,0
7,12:40,12:48,1,0,0,0,0,17,0,0,7,0,8,2,0,8,0
7,12:48,12:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,12:53,14:30,0,0,0,0,0,6,0,0,2,0,2,2,0,2,0
7,14:30,13:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,13:00,14:30,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0
7,14:30,14:30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14:30,14:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14:37,14:40,0,0,0,0,0,4,0,0,1,0,1,2,0,1,0
7,14:40,14:50,0,0,0,0,0,3,0,0,1,0,1,1,0,1,0
7,14:50,14:51,1,0,0,0,0,5,0,0,0,0,2,3,0,2,0
7,14:51,14:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14:55,14:58,1,0,0,0,0,12,0,0,1,0,5,6,0,5,0
7,14:58,15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,15:00,15:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,15:2,15:10,0,0,0,0,0,5,0,0,1,0,1,3,0,1,0
7,15:10,15:20,0,0,0,0,0,12,0,0,5,0,5,2,0,5,0
7,15:20,15:30,0,0,0,0,0,19,0,1,8,0,8,2,0,8,0
7,15:30,15:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,15:30,15:38,1,0,0,0,0,30,0,9,9,0,10,2,10,0,0
7,15:38,16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,16:00,16:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,16:02,16:10,0,0,0,0,0,27,0,0,8,0,12,7,5,7,0
7,16:10,16:20,0,2,1,1,0,46,5,2,13,1,16,9,2,14,0
7,16:20,16:25,1,0,0,0,0,43,0,8,8,0,20,7,14,6,0
7,16:25,16:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,16:27,16:30,0,0,2,1,0,31,10,0,5,2,6,8,2,4,0
7,16:30,16:30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7,16:30,16:31,1,0,0,0,0,8,0,0,1,0,3,4,1,2,0
7,16:31,16:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,16:40,16:50,0,0,1,1,0,38,5,0,12,1,15,5,9,6,0
7,16:50,16:57,1,0,0,0,0,8,0,1,3,0,2,2,2,0,0
7,16:57,17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,17:00,17:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,17:08,17:10,0,0,0,0,0,7,0,0,2,0,2,3,1,1,0
7,17:10,17:20,0,0,1,0,0,28,0,4,10,0,13,1,0,13,0
7,17:20,17:30,0,0,0,1,0,22,5,0,6,1,8,2,6,2,0
7,17:30,17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,17:30,17:40,0,0,0,0,0,9,0,0,4,0,4,1,0,4,0
7,17:40,17:41,1,0,0,0,0,3,0,0,0,0,1,2,0,1,0
7,17:41,17:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,17:49,17:50,0,0,0,0,0,6,0,0,0,0,3,3,0,3,0
7,17:50,18:00,0,0,0,0,0,10,0,0,3,0,4,3,3,1,0
7,18:00,18:10,0,0,1,0,0,21,5,2,3,1,7,3,5,2,0
7,18:10,18:17,1,0,1,0,0,40,5,2,13,1,11,8,9,2,0
7,18:17,18:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,18:18,18:20,0,0,1,2,0,15,5,0,2,1,3,4,1,2,0
7,18:20,,0,0,1,0,0,33,5,4,8,1,11,4,10,1,0
