jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence,nb_interventions_PLQ,nb_interventions_QS,nb_interventions_PQ
14,,11:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11:30,11:40,0,0,0,0,0,7,1,0,1,0,2,3,0,2,0
14,11:40,11:50,0,0,1,0,1,12,5,0,1,1,3,2,1,2,0
14,11:50,12:00,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0
14,12:00,12:10,0,0,0,0,0,18,0,0,9,0,7,2,0,7,0
14,12:10,12:20,0,0,2,0,0,56,3,0,17,1,28,7,7,21,0
14,12:20,12:30,0,0,0,0,0,61,2,1,28,0,27,3,26,1,0
14,12:30,12:30,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0
14,12:30,12:40,0,0,0,0,0,18,0,3,5,0,8,2,8,0,0
14,12:40,12:50,1,0,0,0,0,48,0,0,23,0,23,2,23,0,0
14,12:50,12:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,12:53,13:00,1,0,0,0,0,31,0,5,10,0,12,4,12,0,0
14,13:00,14:00,1,0,0,0,0,3,0,0,1,0,1,1,1,0,0
14,14:00,14:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14:10,14:20,0,0,1,0,0,59,3,3,21,1,25,6,25,0,0
14,14:20,14:30,0,1,0,0,0,80,1,15,25,0,34,5,34,0,0
14,14:30,14:30,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0
14,14:30,14:40,0,0,1,0,0,28,4,3,8,1,8,4,8,0,0
14,14:40,14:50,0,0,0,0,0,61,0,0,29,0,30,2,30,0,0
14,14:50,15:00,0,0,0,0,0,37,0,4,13,0,18,2,0,18,0
14,15:00,15:10,0,0,0,0,0,17,0,0,8,0,8,1,2,6,0
14,15:10,15:20,0,0,0,0,0,33,0,1,16,0,15,1,0,15,0
14,15:20,15:30,0,0,0,0,0,35,0,1,15,0,17,2,11,6,0
14,15:30,15:30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
14,15:30,15:36,1,1,0,0,0,24,0,0,10,0,9,5,5,4,0
14,15:36,16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,16:00,16:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,16:21,16:25,0,0,2,2,0,50,10,0,7,2,19,12,6,13,0
14,16:25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
