Jour,Seuil,Nb phrases,Nb Positif,% Positif,Nb Négatif,% Négatif
1,0.9,2186,111,5.077767612076853,185,8.462946020128088
1,0.925,2186,77,3.522415370539799,146,6.678865507776761
1,0.95,2186,42,1.9213174748398902,97,4.437328453796889
1,0.96,2186,29,1.3266239707227814,80,3.659652333028362
1,0.97,2186,19,0.869167429094236,65,2.9734675205855443
1,0.98,2186,9,0.41171088746569073,47,2.150045745654163
1,0.99,2186,1,0.04574565416285453,21,0.9606587374199451
2,0.9,1317,61,4.6317388003037205,108,8.200455580865604
2,0.925,1317,43,3.2649962034927866,83,6.302201974183751
2,0.95,1317,21,1.5945330296127562,51,3.8724373576309796
2,0.96,1317,15,1.1389521640091116,40,3.0372057706909645
2,0.97,1317,9,0.683371298405467,31,2.3538344722854974
2,0.98,1317,4,0.30372057706909644,25,1.8982536066818527
2,0.99,1317,1,0.07593014426727411,21,1.5945330296127562
3,0.9,1986,50,2.5176233635448138,186,9.365558912386707
3,0.925,1986,38,1.9133937562940584,136,6.847935548841893
3,0.95,1986,28,1.4098690835850958,82,4.128902316213495
3,0.96,1986,20,1.0070493454179255,65,3.272910372608258
3,0.97,1986,13,0.6545820745216515,44,2.215508559919436
3,0.98,1986,4,0.2014098690835851,30,1.5105740181268883
3,0.99,1986,2,0.10070493454179255,16,0.8056394763343404
4,0.9,2482,96,3.8678485092667203,180,7.2522159548751
4,0.925,2482,68,2.73972602739726,140,5.640612409347301
4,0.95,2482,44,1.7727639000805802,95,3.8275584206285256
4,0.96,2482,29,1.1684125705076551,81,3.2634971796937955
4,0.97,2482,22,0.8863819500402901,56,2.2562449637389204
4,0.98,2482,14,0.5640612409347301,45,1.813053988718775
4,0.99,2482,3,0.12087026591458501,31,1.2489927477840452
5,0.9,2216,72,3.2490974729241877,188,8.483754512635379
5,0.925,2216,39,1.759927797833935,140,6.317689530685921
5,0.95,2216,21,0.9476534296028881,98,4.422382671480144
5,0.96,2216,16,0.7220216606498195,82,3.700361010830325
5,0.97,2216,5,0.22563176895306858,63,2.8429602888086642
5,0.98,2216,4,0.18050541516245489,45,2.0306859205776173
