jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence
11,,11:40,0,0,0,0,0,9,1,0,3,0,1,4
11,11:40,11:45,1,1,1,0,0,34,5,4,7,1,7,10
11,11:45,11:46,0,0,0,0,0,0,0,0,0,0,0,0
11,11:46,11:50,0,0,1,1,0,27,5,0,7,1,9,5
11,11:50,12:10,0,0,0,0,0,56,0,9,19,0,26,2
11,12:10,12:13,1,0,0,0,0,13,0,2,3,0,7,1
11,12:13,12:15,0,0,0,0,0,0,0,0,0,0,0,0
11,12:15,12:10,0,0,0,0,0,5,0,0,2,0,1,2
11,12:10,12:20,0,0,3,0,0,55,15,1,10,3,16,10
11,12:20,12:30,0,0,0,0,0,21,0,2,9,0,9,1
11,12:30,12:40,0,0,0,0,0,12,0,0,6,0,6,0
11,12:40,12:50,0,0,2,0,0,55,10,5,12,2,17,9
11,12:50,14:30,0,0,3,0,0,61,12,7,12,3,18,9
11,14:30,14:43,1,0,0,0,0,0,0,0,0,0,0,0
11,14:43,14:50,0,0,4,1,0,77,24,5,12,4,22,10
11,14:50,15:10,0,0,3,1,0,105,14,20,16,3,38,14
11,15:10,15:20,0,0,0,0,0,17,0,2,7,0,7,1
11,15:20,15:30,0,0,0,0,0,22,0,0,10,0,8,4
11,15:30,15:40,0,0,2,0,0,32,10,0,6,2,8,6
11,15:40,15:50,0,0,2,2,0,45,10,0,14,2,11,8
11,15:50,16:02,1,0,0,0,0,46,0,3,17,0,22,4
11,16:02,16:07,0,0,0,0,0,0,0,0,0,0,0,0
11,16:07,16:10,0,0,0,0,0,8,0,0,2,0,3,3
11,16:10,16:20,0,0,0,0,0,5,0,0,2,0,1,2
11,16:20,16:22,1,0,0,0,0,8,0,0,3,0,3,2
11,16:22,16:40,0,0,0,0,0,0,0,0,0,0,0,0
11,16:40,16:50,0,0,2,2,0,52,10,1,11,2,18,10
11,16:50,16:52,1,0,0,0,0,5,0,1,1,0,2,1
11,16:52,17:01,0,0,0,0,0,0,0,0,0,0,0,0
11,17:01,17:10,0,0,1,0,0,40,5,3,8,1,13,10
11,17:10,17:15,1,0,0,0,0,30,0,0,9,0,14,7
11,17:15,17:19,0,0,0,0,0,0,0,0,0,0,0,0
11,17:19,17:20,0,0,0,0,0,4,0,0,0,0,2,2
11,17:20,17:30,0,0,2,1,0,74,10,14,12,2,29,7
11,17:30,17:33,1,0,0,0,0,16,0,0,3,0,8,5
11,17:33,17:43,0,0,0,0,0,0,0,0,0,0,0,0
11,17:43,17:50,0,0,0,0,0,8,0,0,2,0,2,4
11,17:50,18:08,1,0,12,1,1,174,62,0,34,12,41,25
11,18:08,18:12,0,0,0,0,0,0,0,0,0,0,0,0
11,18:12,18:20,0,0,0,0,0,22,0,0,10,0,10,2
11,18:20,,0,0,0,0,0,35,0,0,11,0,13,11
