jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence
19,,9:30,0,0,0,0,0,0,0,0,0,0,0,0
19,9:30,10:00,0,0,0,0,0,7,1,0,2,0,0,4
19,10:00,10:10,0,0,0,3,0,31,0,0,12,0,5,14
19,10:10,10:14,1,0,0,0,0,27,0,0,12,0,10,5
19,10:14,10:21,0,0,0,0,0,0,0,0,0,0,0,0
19,10:21,10:30,0,1,0,1,0,42,0,0,17,0,15,10
19,10:30,10:30,0,0,0,0,0,1,0,0,1,0,0,0
19,10:30,10:40,0,1,0,1,0,54,0,1,22,0,24,7
19,10:40,10:50,0,4,2,2,0,117,12,7,33,7,39,19
19,10:50,11:00,0,0,0,0,0,38,0,1,19,0,18,0
19,11:00,11:01,1,0,0,1,0,14,0,0,5,0,3,6
19,11:01,11:08,0,0,0,0,0,0,0,0,0,0,0,0
19,11:08,11:10,0,0,0,0,0,12,0,0,4,0,2,6
19,11:10,11:11,1,0,0,0,0,9,0,0,2,0,1,6
19,11:11,11:30,0,0,0,0,0,0,0,0,0,0,0,0
19,11:30,11:48,0,0,0,0,0,0,0,0,0,0,0,0
19,11:48,11:50,0,2,0,0,0,8,0,0,3,0,0,5
19,11:50,12:00,0,0,0,0,0,27,0,0,9,0,12,6
19,12:00,12:10,0,0,0,0,0,35,0,0,18,0,17,0
19,12:10,12:20,0,0,0,0,0,15,0,0,7,0,7,1
19,12:20,12:30,1,0,0,0,0,49,0,0,24,0,15,10
19,12:30,12:30,0,0,0,0,0,0,0,0,0,0,0,0
19,12:30,12:30,1,0,0,0,0,4,0,0,2,0,0,2
19,12:30,14:00,0,0,0,0,0,0,0,0,0,0,0,0
19,14:00,14:10,0,0,0,0,0,0,0,0,0,0,0,0
19,14:10,14:20,0,0,0,0,0,47,0,0,22,0,22,3
19,14:20,14:30,0,0,0,1,0,51,0,0,22,0,15,14
19,14:30,14:30,0,0,0,0,0,0,0,0,0,0,0,0
19,14:30,14:32,1,0,0,1,0,14,0,0,5,0,1,8
19,14:32,14:34,0,0,0,0,0,0,0,0,0,0,0,0
19,14:34,14:40,0,0,0,0,0,36,0,0,15,0,4,17
19,14:40,9:30,0,0,0,0,0,80,0,1,27,0,32,20
19,9:30,,0,0,0,0,0,0,0,0,0,0,0,0
