jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence,nb_interventions_PLQ,nb_interventions_QS,nb_interventions_PQ
4,,11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11:00,11:20,0,0,0,0,0,10,1,2,1,0,2,4,2,0,0
4,11:20,11:30,0,0,0,0,0,24,0,2,10,0,9,3,9,0,0
4,11:30,11:30,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
4,11:30,11:40,0,0,0,0,0,10,0,0,6,0,3,1,0,3,0
4,11:40,11:50,0,0,0,0,0,19,0,0,8,0,9,2,3,6,0
4,11:50,12:00,0,0,0,0,0,10,0,0,5,0,5,0,5,0,0
4,12:00,12:10,0,0,0,0,0,12,0,0,5,0,7,0,7,0,0
4,12:10,12:20,0,0,0,0,0,35,0,2,16,0,16,1,16,0,0
4,12:20,12:30,0,0,0,0,0,18,0,0,9,0,9,0,9,0,0
4,12:30,12:30,0,0,0,0,0,4,0,1,1,0,0,2,0,0,0
4,12:30,12:40,0,0,0,0,0,71,0,2,30,0,34,5,34,0,0
4,12:40,12:50,0,0,0,0,0,40,0,9,9,0,19,3,19,0,0
4,12:50,14:30,0,0,0,0,0,63,0,13,19,0,29,2,21,8,0
4,14:30,12:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12:59,14:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14:30,14:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14:36,14:38,1,0,0,0,0,10,0,0,2,0,3,5,0,3,0
4,14:38,14:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14:40,14:50,0,1,0,0,0,42,0,0,16,0,17,9,16,1,0
4,14:50,15:00,0,0,0,0,0,13,0,0,5,0,5,3,0,5,0
4,15:00,15:10,0,0,0,0,0,14,0,1,6,0,7,0,0,7,0
4,15:10,15:20,0,0,0,0,0,45,0,3,15,0,23,4,7,16,0
4,15:20,15:30,0,0,0,0,0,31,0,6,12,0,11,2,1,10,0
4,15:30,15:34,1,0,2,0,0,55,10,0,18,2,18,7,3,15,0
4,15:34,15:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15:40,15:50,0,0,0,0,0,5,0,0,1,0,2,2,0,2,0
4,15:50,15:54,1,0,0,0,0,12,0,0,5,0,5,2,0,5,0
4,15:54,16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16:00,16:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16:07,16:08,1,1,0,0,0,9,0,0,2,0,4,3,0,4,0
4,16:08,16:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16:17,16:20,0,0,0,0,0,4,0,0,1,0,2,1,0,2,0
4,16:20,16:30,0,0,0,0,0,46,0,0,23,0,23,0,0,23,0
4,16:30,16:30,0,0,0,0,0,3,0,0,2,0,1,0,0,1,0
4,16:30,16:40,0,0,0,0,0,63,0,7,26,0,30,0,0,30,0
4,16:40,16:50,0,0,0,0,0,25,0,0,8,0,12,5,6,6,0
4,16:50,17:00,0,0,0,0,0,42,0,1,19,0,18,4,18,0,0
4,17:00,17:10,0,0,1,1,0,41,5,7,7,1,14,7,8,6,0
4,17:10,17:20,0,0,0,0,0,82,0,3,39,0,40,0,40,0,0
4,17:20,17:30,0,0,0,0,0,26,0,1,11,0,12,2,6,6,0
4,17:30,17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,17:30,12:48,0,0,0,0,0,19,0,8,0,0,10,1,1,9,0
4,12:48,17:40,0,0,0,0,0,18,0,0,9,0,9,0,9,0,0
4,17:40,17:43,1,0,0,0,0,19,0,2,8,0,8,1,8,0,0
4,17:43,17:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,17:53,18:00,0,0,1,0,0,31,5,1,10,1,10,4,9,1,0
4,18:00,18:10,0,0,1,0,0,47,5,1,18,1,19,3,18,1,0
4,18:10,18:20,0,0,0,0,0,33,0,3,13,0,16,1,15,1,0
4,18:20,18:28,1,0,0,0,0,4,0,0,1,0,1,2,0,1,0
4,18:28,18:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,18:29,,0,0,0,0,0,3,0,0,0,0,1,2,0,1,0
