jour,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence
1,8,2,5,2,1,428,24,24,106,5,152,117
2,5,0,0,1,0,267,1,9,94,0,101,62
3,5,2,16,3,4,700,63,29,224,17,258,109
4,7,2,5,1,0,1059,26,75,396,5,464,93
5,9,1,7,3,2,694,37,33,216,7,269,132
6,7,1,10,5,1,840,50,44,289,10,341,106
7,11,3,11,7,0,695,56,44,195,11,259,130
8,15,4,10,8,1,680,48,7,220,10,245,150
9,5,1,15,3,0,620,81,44,197,12,201,85
10,8,5,27,10,3,818,139,58,187,28,259,147
11,9,1,38,9,1,1173,193,79,280,38,392,191
12,7,8,21,4,1,1158,114,43,357,22,444,178
13,10,4,11,6,2,738,53,39,238,11,263,134
14,4,2,7,2,1,685,29,36,251,6,296,67
15,8,0,20,9,0,1056,97,71,350,21,397,120
16,2,1,1,1,0,790,6,84,289,1,361,49
17,5,0,14,1,0,1104,54,91,362,13,465,119
18,11,0,0,14,0,1629,3,93,624,0,662,247
19,6,8,2,10,0,718,13,10,283,7,242,163
20,1,3,0,5,0,442,1,60,63,74,155,89
