jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence
16,,10:00,0,0,0,0,0,0,0,0,0,0,0,0
16,10:00,10:10,0,1,0,0,0,28,1,1,10,0,10,6
16,10:10,10:20,0,0,1,1,0,64,5,2,23,1,29,4
16,10:20,10:30,0,0,0,0,0,6,0,0,3,0,1,2
16,10:30,10:30,0,0,0,0,0,0,0,0,0,0,0,0
16,10:30,10:40,0,0,0,0,0,10,0,2,4,0,3,1
16,10:40,11:50,0,0,0,0,0,36,0,12,6,0,16,2
16,11:50,11:00,0,0,0,0,0,105,0,25,31,0,44,5
16,11:00,11:10,0,0,0,0,0,41,0,2,19,0,18,2
16,11:10,11:20,0,0,0,0,0,44,0,2,19,0,23,0
16,11:20,11:30,0,0,0,0,0,41,0,5,17,0,19,0
16,11:30,11:30,0,0,0,0,0,1,0,0,0,0,1,0
16,11:30,11:40,0,0,0,0,0,37,0,1,17,0,17,2
16,11:40,11:50,0,0,0,0,0,24,0,5,6,0,11,2
16,11:50,11:59,1,0,0,0,0,29,0,5,9,0,14,1
16,11:59,19:30,0,0,0,0,0,0,0,0,0,0,0,0
16,19:30,19:34,0,0,0,0,0,0,0,0,0,0,0,0
16,19:34,19:40,0,0,0,0,0,22,0,5,5,0,10,2
16,19:40,19:50,0,0,0,0,0,43,0,9,12,0,21,1
16,19:50,20:00,0,0,0,0,0,34,0,2,17,0,15,0
16,20:00,20:10,0,0,0,0,0,33,0,4,12,0,17,0
16,20:10,20:20,0,0,0,0,0,37,0,1,18,0,18,0
16,20:20,20:30,0,0,0,0,0,52,0,0,20,0,27,5
16,20:30,20:30,0,0,0,0,0,1,0,0,0,0,0,1
16,20:30,20:30,1,0,0,0,0,5,0,0,0,0,0,5
16,20:30,20:46,0,0,0,0,0,0,0,0,0,0,0,0
16,20:46,20:50,0,0,0,0,0,18,0,0,4,0,9,5
16,20:50,21:00,0,0,0,0,0,30,0,0,14,0,16,0
16,21:00,21:10,0,0,0,0,0,28,0,0,14,0,14,0
16,21:10,21:20,0,0,0,0,0,12,0,1,4,0,6,1
16,21:20,,0,0,0,0,0,9,0,0,5,0,2,2
