jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence
15,,11:00,0,0,0,0,0,0,0,0,0,0,0,0
15,11:00,11:30,0,0,0,0,0,1,0,0,0,0,0,1
15,11:30,11:30,0,0,0,0,0,1,1,0,0,0,0,0
15,11:30,11:34,1,0,1,1,0,32,7,0,4,2,9,10
15,11:34,11:36,0,0,0,0,0,0,0,0,0,0,0,0
15,11:36,11:40,0,0,0,0,0,14,0,0,6,0,7,1
15,11:40,11:47,1,0,0,0,0,35,0,2,12,0,15,6
15,11:47,11:49,0,0,0,0,0,0,0,0,0,0,0,0
15,11:49,11:50,0,0,0,0,0,7,0,0,3,0,3,1
15,11:50,12:00,0,0,0,0,0,51,0,11,13,0,24,3
15,12:00,12:10,0,0,1,1,0,48,5,12,7,1,20,3
15,12:10,12:20,0,0,2,1,0,79,10,0,29,2,27,11
15,12:20,12:30,0,0,6,1,0,71,25,0,14,5,16,11
15,12:30,12:30,0,0,0,0,0,0,0,0,0,0,0,0
15,12:30,12:32,1,0,0,0,0,4,0,0,2,0,1,1
15,12:32,12:37,0,0,0,0,0,0,0,0,0,0,0,0
15,12:37,12:40,0,0,0,0,0,3,0,0,1,0,0,2
15,12:40,12:50,0,0,1,1,0,67,5,4,27,1,27,3
15,12:50,14:00,1,0,0,0,0,33,0,3,11,0,14,5
15,14:00,14:11,0,0,0,0,0,0,0,0,0,0,0,0
15,14:11,14:20,0,0,0,0,0,39,0,7,12,0,17,3
15,14:20,14:30,0,0,0,0,0,33,0,3,14,0,15,1
15,14:30,14:30,0,0,0,0,0,1,0,1,0,0,0,0
15,14:30,14:39,1,0,3,0,0,51,15,3,8,3,12,10
15,14:39,14:40,0,0,0,0,0,0,0,0,0,0,0,0
15,14:40,14:50,0,0,1,1,0,63,5,0,25,1,26,6
15,14:50,15:00,0,0,0,0,0,43,0,1,20,0,20,2
15,15:00,15:10,0,0,0,0,0,30,0,1,14,0,15,0
15,15:10,15:20,0,0,0,0,0,48,0,0,23,0,18,7
15,15:20,15:30,0,0,0,0,0,19,0,3,5,0,8,3
15,15:30,15:30,0,0,0,0,0,0,0,0,0,0,0,0
15,15:30,15:31,1,0,0,0,0,15,0,3,6,0,5,1
15,15:31,15:33,0,0,0,0,0,0,0,0,0,0,0,0
15,15:33,15:40,1,0,2,2,0,51,12,0,12,3,8,16
15,15:40,15:45,0,0,0,0,0,0,0,0,0,0,0,0
15,15:45,15:20,0,0,0,0,0,14,0,0,6,0,7,1
15,15:20,15:53,1,0,0,0,0,27,0,10,3,0,11,3
15,15:53,15:55,0,0,0,0,0,0,0,0,0,0,0,0
15,15:55,16:00,0,0,0,0,0,6,0,0,2,0,3,1
15,16:00,16:10,0,0,0,0,0,32,0,2,14,0,15,1
15,16:10,16:20,0,0,1,0,0,40,0,1,20,0,18,1
15,16:20,,0,0,2,1,0,98,12,4,37,3,36,6
