jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence,nb_interventions_PLQ,nb_interventions_QS,nb_interventions_PQ
12,,9:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9:30,9:40,0,2,0,0,0,48,1,0,20,0,15,12,15,0,0
12,9:40,9:50,0,0,0,0,0,51,0,5,19,0,26,1,26,0,0
12,9:50,10:00,0,0,0,0,0,21,0,0,9,0,8,4,8,0,0
12,10:00,10:04,1,0,0,0,0,12,0,1,4,0,3,4,3,0,0
12,10:04,10:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10:25,10:30,0,0,0,0,0,8,0,0,2,0,3,3,3,0,0
12,10:30,10:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10:30,10:40,0,0,0,0,0,12,0,0,3,0,4,5,3,1,0
12,10:40,10:50,0,0,0,0,0,17,0,0,6,0,8,3,1,7,0
12,10:50,11:00,0,0,0,0,0,10,0,0,2,0,3,5,2,1,0
12,11:00,11:10,0,0,2,2,0,69,15,0,18,3,22,11,18,4,0
12,11:10,11:20,0,0,0,0,0,21,0,0,10,0,10,1,0,10,0
12,11:20,11:30,0,0,0,0,0,24,0,3,8,0,11,2,1,10,0
12,11:30,11:30,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
12,11:30,11:40,0,0,0,0,0,35,0,13,5,0,17,0,17,0,0
12,11:40,11:47,1,0,0,0,0,12,0,0,2,0,5,5,1,4,0
12,11:47,11:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,11:51,12:00,0,0,0,0,0,36,0,0,14,0,17,5,8,9,0
12,12:00,12:01,1,0,0,0,0,6,0,0,3,0,1,2,0,1,0
12,12:01,15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15:00,15:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15:25,15:30,0,0,0,0,0,9,0,0,3,0,4,2,0,4,0
12,15:30,15:30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
12,15:30,15:34,1,0,0,0,0,13,0,0,6,0,6,1,0,6,0
12,15:34,15:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15:56,16:00,0,1,2,0,0,38,9,0,6,2,9,12,2,7,0
12,16:00,16:10,0,1,6,0,0,85,25,0,19,6,19,16,13,6,0
12,16:10,16:20,0,0,0,0,0,23,5,0,7,1,7,3,6,1,0
12,16:20,16:30,0,0,0,0,0,21,0,1,10,0,10,0,10,0,0
12,16:30,16:30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
12,16:30,16:40,0,0,0,0,0,52,0,2,25,0,25,0,25,0,0
12,16:40,16:50,0,0,0,0,0,37,0,0,16,0,17,4,8,9,0
12,16:50,17:00,0,0,0,0,0,24,0,1,10,0,10,3,7,3,0
12,17:00,17:10,0,0,0,0,0,31,0,1,15,0,14,1,0,14,0
12,17:10,17:20,0,0,0,0,0,34,0,0,17,0,17,0,0,17,0
12,17:20,17:28,1,0,0,0,0,34,0,2,15,0,15,2,0,15,0
12,17:28,17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,17:30,17:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,17:36,17:40,0,2,1,1,0,39,5,0,5,1,15,13,11,4,0
12,17:40,17:48,1,0,3,0,1,46,18,0,6,3,11,8,3,4,4
12,17:48,18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18:00,18:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18:02,18:07,1,0,3,0,0,48,12,0,7,2,14,13,2,3,9
12,18:07,18:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18:16,18:20,0,1,0,0,0,13,0,0,4,0,5,4,0,5,0
12,18:20,18:30,0,0,0,0,0,36,0,5,13,0,16,2,0,16,0
12,18:30,18:30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
12,18:30,18:40,0,0,0,0,0,39,0,0,11,0,20,8,9,10,1
12,18:40,18:50,0,1,2,1,0,82,12,2,21,2,34,11,24,8,2
12,18:50,,0,0,2,0,0,68,12,7,13,2,22,12,8,12,2
