jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence,nb_interventions_PLQ,nb_interventions_QS,nb_interventions_PQ
13,,11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,11:00,11:20,0,0,0,0,0,4,1,0,1,0,0,2,0,0,0
13,11:20,11:29,1,0,0,0,0,14,0,0,7,0,1,6,1,0,0
13,11:29,11:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,11:30,11:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,11:38,11:40,0,0,0,0,0,5,0,0,2,0,1,2,1,0,0
13,11:40,11:50,0,2,1,1,0,73,4,9,19,1,29,11,24,5,0
13,11:50,12:00,0,0,0,0,0,33,0,0,14,0,12,7,4,8,0
13,12:00,12:10,0,0,0,0,0,13,0,2,4,0,6,1,0,6,0
13,12:10,12:20,0,0,0,0,0,18,0,0,9,0,9,0,0,9,0
13,12:20,12:24,1,0,0,0,0,10,0,0,4,0,4,2,0,4,0
13,12:24,12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12:30,12:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12:57,14:30,0,1,1,1,0,16,5,0,2,1,3,5,1,2,0
13,14:30,12:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12:59,14:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14:30,14:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14:36,14:40,0,0,0,0,0,13,0,0,5,0,3,5,0,3,0
13,14:40,14:50,0,0,1,1,0,44,5,0,15,1,17,6,11,6,0
13,14:50,14:54,1,0,0,0,0,29,0,3,12,0,12,2,12,0,0
13,14:54,15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,15:00,15:10,0,0,0,0,0,15,0,0,6,0,6,3,6,0,0
13,15:10,15:20,0,0,0,0,0,16,0,1,5,0,8,2,1,7,0
13,15:20,15:30,0,0,0,0,0,26,0,3,11,0,10,2,0,10,0
13,15:30,15:30,0,0,0,0,0,3,0,0,1,0,2,0,0,2,0
13,15:30,15:34,1,0,0,0,0,6,0,0,2,0,3,1,0,3,0
13,15:34,15:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,15:39,15:40,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0
13,15:40,15:50,0,0,1,0,1,29,5,0,7,1,10,6,2,8,0
13,15:50,16:00,0,0,0,0,0,44,0,7,18,0,17,2,1,16,0
13,16:00,16:10,0,0,0,0,0,27,0,1,9,0,12,5,0,12,0
13,16:10,16:19,1,0,0,0,0,22,0,0,10,0,11,1,0,11,0
13,16:19,16:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,16:28,16:30,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0
13,16:30,16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,16:30,16:38,1,0,2,0,1,39,10,0,8,2,10,9,2,8,0
13,16:38,16:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,16:40,16:50,0,0,1,1,0,18,5,0,4,1,3,5,1,2,0
13,16:50,17:00,0,0,0,0,0,6,0,0,2,0,1,3,0,1,0
13,17:00,17:06,1,0,0,0,0,10,0,0,4,0,3,3,2,1,0
13,17:06,17:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,17:11,17:20,0,1,2,0,0,63,10,3,17,2,17,14,6,11,0
13,17:20,17:30,0,0,0,0,0,42,0,7,11,0,18,6,7,11,0
13,17:30,17:30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
13,17:30,17:34,1,0,1,1,0,25,4,1,8,1,5,6,3,2,0
13,17:34,17:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,17:36,17:40,0,0,0,0,0,4,0,0,0,0,2,2,0,2,0
13,17:40,17:50,0,0,1,1,0,15,4,0,3,1,2,5,0,2,0
13,17:50,17:58,1,0,0,0,0,7,0,0,2,0,2,3,0,2,0
13,17:58,18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,18:00,18:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,18:03,18:10,0,0,0,0,0,20,0,2,6,0,10,2,1,9,0
13,18:10,18:20,0,0,0,0,0,6,0,0,3,0,2,1,0,2,0
13,18:20,,0,0,0,0,0,18,0,0,6,0,10,2,8,2,0
