jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence
2,,14:30,0,0,0,0,0,0,0,0,0,0,0,0
2,14:30,14:40,0,0,0,0,0,4,1,0,0,0,1,2
2,14:40,14:50,0,0,0,0,0,22,0,4,6,0,7,5
2,14:50,15:00,0,0,0,0,0,26,0,0,12,0,12,2
2,15:00,15:10,0,0,0,0,0,4,0,0,2,0,2,0
2,15:10,15:20,0,0,0,0,0,5,0,0,2,0,1,2
2,15:20,15:30,0,0,0,0,0,19,0,1,9,0,8,1
2,15:30,15:30,1,0,0,0,0,1,0,0,0,0,0,1
2,15:30,15:36,0,0,0,0,0,0,0,0,0,0,0,0
2,15:36,15:40,0,0,0,0,0,5,0,0,1,0,2,2
2,15:40,15:50,0,0,0,0,0,30,0,1,14,0,13,2
2,15:50,16:00,0,0,0,0,0,5,0,0,2,0,2,1
2,16:00,16:10,0,0,0,0,0,30,0,2,15,0,10,3
2,16:10,16:20,0,0,0,0,0,11,0,0,3,0,5,3
2,16:20,16:30,0,0,0,0,0,26,0,0,12,0,12,2
2,16:30,16:30,0,0,0,0,0,0,0,0,0,0,0,0
2,16:30,16:39,1,0,0,0,0,6,0,0,1,0,2,3
2,16:39,16:59,0,0,0,0,0,0,0,0,0,0,0,0
2,16:59,17:00,0,0,0,0,0,4,0,0,0,0,2,2
2,17:00,17:10,0,0,0,0,0,4,0,0,1,0,1,2
2,17:10,17:20,0,0,0,0,0,4,0,1,2,0,0,1
2,17:20,17:30,0,0,0,0,0,11,0,0,4,0,2,5
2,17:30,17:30,0,0,0,0,0,0,0,0,0,0,0,0
2,17:30,17:39,1,0,0,0,0,11,0,0,5,0,4,2
2,17:39,10:49,0,0,0,0,0,0,0,0,0,0,0,0
2,10:49,17:50,0,0,0,0,0,3,0,0,0,0,1,2
2,17:50,17:59,1,0,0,0,0,8,0,0,0,0,4,4
2,17:59,18:00,0,0,0,0,0,0,0,0,0,0,0,0
2,18:00,18:06,0,0,0,0,0,0,0,0,0,0,0,0
2,18:06,18:10,0,0,0,0,0,10,0,0,2,0,3,5
2,18:10,18:16,1,0,0,1,0,3,0,0,0,0,1,2
2,18:16,18:18,0,0,0,0,0,0,0,0,0,0,0,0
2,18:18,18:20,0,0,0,0,0,2,0,0,1,0,0,1
2,18:20,,0,0,0,0,0,13,0,0,0,0,6,7
