jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence
8,,11:00,0,0,0,0,0,0,0,0,0,0,0,0
8,11:00,11:30,0,0,0,0,0,13,1,0,3,0,3,6
8,11:30,11:30,0,0,0,0,0,1,0,0,0,0,1,0
8,11:30,11:33,1,0,1,0,0,29,4,0,10,1,6,8
8,11:33,11:36,0,0,0,0,0,0,0,0,0,0,0,0
8,11:36,11:38,1,1,0,0,0,11,0,0,4,0,1,6
8,11:38,11:39,0,0,0,0,0,0,0,0,0,0,0,0
8,11:39,11:40,0,0,0,0,0,3,0,0,1,0,1,1
8,11:40,11:50,0,1,0,0,0,35,0,1,15,0,12,7
8,11:50,12:00,0,0,0,0,0,43,0,0,22,0,21,0
8,12:00,12:10,0,0,0,0,0,33,0,0,17,0,16,0
8,12:10,12:20,0,0,0,0,0,10,0,0,4,0,4,2
8,12:20,12:30,0,0,0,0,0,7,0,0,3,0,4,0
8,12:30,12:30,0,0,0,0,0,0,0,0,0,0,0,0
8,12:30,12:40,0,0,0,0,0,30,0,0,15,0,15,0
8,12:40,12:50,0,0,0,0,0,21,0,0,10,0,11,0
8,12:50,12:57,1,0,0,0,0,11,0,0,4,0,4,3
8,12:57,14:30,0,0,0,0,0,1,0,0,0,0,0,1
8,14:30,13:1,1,0,0,0,0,0,0,0,0,0,0,0
8,13:1,13:00,0,0,0,0,0,0,0,0,0,0,0,0
8,13:00,14:30,0,0,0,0,0,1,0,0,0,0,0,1
8,14:30,13:1,1,0,0,0,0,0,0,0,0,0,0,0
8,13:1,14:30,0,0,0,0,0,0,0,0,0,0,0,0
8,14:30,14:33,0,0,0,0,0,0,0,0,0,0,0,0
8,14:33,14:40,0,0,0,0,0,10,0,0,2,0,4,4
8,14:40,14:50,0,0,0,0,0,5,0,0,3,0,2,0
8,14:50,15:00,0,0,0,0,0,5,0,0,2,0,2,1
8,15:00,15:8,1,1,0,0,0,18,0,0,7,0,7,4
8,15:8,15:22,0,0,0,0,0,0,0,0,0,0,0,0
8,15:22,15:24,1,0,1,2,0,23,4,0,4,1,7,7
8,15:24,15:30,0,0,0,0,0,2,0,0,0,0,1,1
8,15:30,15:30,0,0,0,0,0,0,0,0,0,0,0,0
8,15:30,15:40,0,0,0,0,0,3,0,0,1,0,1,1
8,15:40,15:50,0,0,0,0,0,9,0,2,1,0,3,3
8,15:50,15:53,1,0,0,0,0,7,0,0,1,0,2,4
8,15:53,15:58,0,0,0,0,0,0,0,0,0,0,0,0
8,15:58,16:00,0,0,0,0,0,5,0,0,2,0,2,1
8,16:00,16:9,1,0,1,0,0,22,4,0,6,1,5,6
8,16:9,16:13,0,0,0,0,0,0,0,0,0,0,0,0
8,16:13,16:18,1,0,0,0,0,7,0,0,1,0,2,4
8,16:18,16:28,0,0,0,0,0,0,0,0,0,0,0,0
8,16:28,16:30,0,0,1,0,0,21,5,0,1,1,7,7
8,16:30,16:30,0,0,0,1,0,1,0,0,0,0,0,1
8,16:30,16:33,1,0,0,1,0,18,5,0,4,1,4,4
8,16:33,16:40,0,0,0,0,0,0,0,0,0,0,0,0
8,16:40,16:50,0,0,1,1,0,31,5,0,6,1,10,9
8,16:50,16:54,1,0,1,1,0,24,5,0,5,1,6,7
8,16:54,17:00,0,0,0,0,0,0,0,0,0,0,0,0
8,17:00,17:05,0,0,0,0,0,0,0,0,0,0,0,0
8,17:05,17:10,0,1,1,1,0,39,5,0,8,1,13,12
8,17:10,17:19,1,0,0,0,0,27,0,2,10,0,12,3
8,17:19,17:24,0,0,0,0,0,0,0,0,0,0,0,0
8,17:24,17:26,1,0,0,0,0,5,0,0,1,0,2,2
8,17:26,17:30,0,0,0,0,0,0,0,0,0,0,0,0
8,17:30,17:30,0,0,0,0,0,0,0,0,0,0,0,0
8,17:30,17:40,0,0,0,0,0,7,0,0,2,0,2,3
8,17:40,17:50,0,0,0,0,0,5,0,0,1,0,2,2
8,17:50,18:00,0,0,0,0,0,16,0,1,6,0,5,4
8,18:00,18:10,0,0,0,0,0,30,0,0,13,0,13,4
8,18:10,18:20,0,0,2,0,1,50,5,1,14,1,18,11
8,18:20,18:21,1,0,1,1,0,19,5,0,3,1,6,4
8,18:21,18:24,0,0,0,0,0,0,0,0,0,0,0,0
8,18:24,18:30,0,0,0,0,0,17,0,0,5,0,8,4
8,18:30,18:30,0,0,0,0,0,1,0,0,1,0,0,0
8,18:30,,0,0,0,0,0,4,0,0,2,0,0,2
