jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence
6,,11:30,0,0,0,0,0,0,0,0,0,0,0,0
6,11:30,11:40,0,0,0,0,0,16,1,0,2,0,8,5
6,11:40,11:50,0,1,0,0,0,34,0,2,14,0,16,2
6,11:50,12:00,0,0,0,0,0,24,0,0,10,0,11,3
6,12:00,12:02,1,0,0,0,0,14,0,0,7,0,2,5
6,12:02,12:04,0,0,0,0,0,0,0,0,0,0,0,0
6,12:04,12:10,0,0,0,0,0,21,0,0,7,0,12,2
6,12:10,12:20,0,0,0,0,0,53,0,0,25,0,27,1
6,12:20,12:25,1,0,1,1,0,35,5,0,12,1,13,4
6,12:25,12:29,0,0,0,0,0,0,0,0,0,0,0,0
6,12:29,12:30,0,0,0,0,0,4,0,0,1,0,2,1
6,12:30,12:30,0,0,0,0,0,1,0,0,1,0,0,0
6,12:30,12:40,0,0,0,0,0,17,0,0,6,0,9,2
6,12:40,12:50,0,0,0,0,0,18,0,0,8,0,9,1
6,12:50,12:53,1,0,0,0,0,27,0,2,11,0,11,3
6,12:53,12:56,0,0,0,0,0,0,0,0,0,0,0,0
6,12:56,14:30,0,0,0,0,0,11,0,1,1,0,3,6
6,14:30,12:58,1,0,0,0,0,0,0,0,0,0,0,0
6,12:58,14:30,0,0,0,0,0,0,0,0,0,0,0,0
6,14:30,14:33,0,0,0,0,0,0,0,0,0,0,0,0
6,14:33,14:40,0,0,0,0,0,3,0,0,0,0,2,1
6,14:40,14:50,0,0,0,0,0,10,0,2,1,0,2,5
6,14:50,15:00,0,0,1,0,1,30,5,1,8,1,9,6
6,15:00,15:10,0,0,0,0,0,20,0,1,8,0,9,2
6,15:10,15:20,0,0,0,0,0,3,0,0,1,0,1,1
6,15:20,15:30,0,0,0,0,0,51,0,0,25,0,22,4
6,15:30,15:30,0,0,0,0,0,0,0,0,0,0,0,0
6,15:30,15:40,0,0,1,0,0,27,5,0,8,1,8,5
6,15:40,15:50,0,0,1,0,0,47,0,5,19,0,21,2
6,15:50,16:00,0,0,1,1,0,42,10,4,9,2,11,6
6,16:00,16:05,1,0,1,0,0,20,4,0,4,1,6,5
6,16:05,16:10,0,0,0,0,0,0,0,0,0,0,0,0
6,16:10,16:20,0,0,0,0,0,29,0,3,11,0,14,1
6,16:20,16:30,0,0,1,1,0,52,5,6,14,1,23,3
6,16:30,16:30,0,0,0,0,0,1,0,0,1,0,0,0
6,16:30,16:40,0,0,1,0,0,69,5,6,24,1,26,7
6,16:40,16:50,0,0,1,1,0,36,5,7,5,1,14,4
6,16:50,17:00,0,0,0,0,0,23,0,0,11,0,12,0
6,17:00,17:07,1,0,0,0,0,9,0,0,2,0,3,4
6,17:07,17:30,0,0,0,0,0,0,0,0,0,0,0,0
6,17:30,17:43,0,0,0,0,0,0,0,0,0,0,0,0
6,17:43,17:50,0,0,0,0,0,19,0,0,8,0,8,3
6,17:50,18:00,0,0,1,1,0,34,5,0,11,1,14,3
6,18:00,18:03,1,0,0,0,0,6,0,0,3,0,2,1
6,18:03,18:14,0,0,0,0,0,0,0,0,0,0,0,0
6,18:14,18:20,0,0,0,0,0,5,0,0,1,0,2,2
6,18:20,18:30,0,0,0,0,0,24,0,2,8,0,9,5
6,18:30,,0,0,0,0,0,5,0,2,2,0,0,1
