jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence
5,,11:30,0,0,0,0,0,0,0,0,0,0,0,0
5,11:30,11:40,0,0,0,0,0,9,1,0,1,0,4,3
5,11:40,11:50,0,0,0,0,0,5,0,0,1,0,1,3
5,11:50,12:00,0,0,0,0,0,3,0,0,1,0,2,0
5,12:00,12:10,0,0,0,0,0,9,0,0,3,0,3,3
5,12:10,12:20,0,0,0,0,0,19,0,2,6,0,6,5
5,12:20,12:30,0,0,0,0,0,16,0,3,6,0,5,2
5,12:30,12:30,0,0,0,0,0,1,0,0,0,0,1,0
5,12:30,12:31,1,0,0,0,0,3,0,0,1,0,0,2
5,12:31,12:40,0,0,0,0,0,0,0,0,0,0,0,0
5,12:40,12:41,1,0,0,0,0,3,0,0,0,0,1,2
5,12:41,12:47,0,0,0,0,0,0,0,0,0,0,0,0
5,12:47,12:48,1,0,1,0,1,15,6,0,1,1,4,3
5,12:48,12:52,0,0,0,0,0,0,0,0,0,0,0,0
5,12:52,13:00,0,0,0,0,0,29,0,7,2,0,11,9
5,13:00,14:30,1,0,0,0,0,0,0,0,0,0,0,0
5,14:30,14:34,0,0,0,0,0,0,0,0,0,0,0,0
5,14:34,14:40,0,0,0,0,0,12,0,4,0,0,5,3
5,14:40,14:50,0,0,0,0,0,12,0,2,4,0,4,2
5,14:50,14:58,1,0,0,0,0,33,0,1,13,0,12,7
5,14:58,15:00,0,0,0,0,0,0,0,0,0,0,0,0
5,15:00,15:01,0,0,0,0,0,0,0,0,0,0,0,0
5,15:01,15:10,0,0,2,1,0,39,10,0,6,2,11,10
5,15:10,15:20,0,0,0,0,0,31,0,0,11,0,14,6
5,15:20,15:27,1,0,1,0,0,28,5,0,3,1,9,10
5,15:27,15:38,0,0,0,0,0,0,0,0,0,0,0,0
5,15:38,15:40,0,0,0,0,0,4,0,0,2,0,0,2
5,15:40,15:49,1,0,0,0,0,15,0,1,5,0,5,4
5,15:49,15:52,0,0,0,0,0,0,0,0,0,0,0,0
5,15:52,16:00,0,0,0,0,0,17,0,0,8,0,7,2
5,16:00,16:10,0,1,0,0,0,28,0,0,10,0,11,7
5,16:10,16:20,0,0,0,0,0,40,0,4,10,0,15,11
5,16:20,16:30,0,0,0,0,0,56,0,1,26,0,27,2
5,16:30,16:30,0,0,0,0,0,1,0,0,1,0,0,0
5,16:30,16:40,0,0,0,0,0,24,0,2,10,0,11,1
5,16:40,16:50,0,0,0,0,0,30,0,5,7,0,15,3
5,16:50,16:52,1,0,0,0,0,18,0,1,6,0,7,4
5,16:52,16:56,0,0,0,0,0,0,0,0,0,0,0,0
5,16:56,17:00,0,0,1,1,0,24,5,0,6,1,6,6
5,17:00,17:10,0,0,0,0,0,10,0,0,4,0,5,1
5,17:10,17:20,0,0,0,0,0,16,0,0,8,0,6,2
5,17:20,17:30,0,0,0,0,0,22,0,0,10,0,10,2
5,17:30,17:30,0,0,0,0,0,1,0,0,0,0,1,0
5,17:30,17:40,0,0,0,0,0,43,0,0,20,0,21,2
5,17:40,17:50,0,0,0,0,0,18,0,0,9,0,8,1
5,17:50,18:00,0,0,0,0,0,19,0,0,8,0,10,1
5,18:00,18:05,1,0,1,1,0,19,5,0,4,1,6,3
5,18:05,18:25,0,0,0,0,0,0,0,0,0,0,0,0
5,18:25,18:30,0,0,1,0,1,20,5,0,2,1,5,7
5,18:30,18:30,0,0,0,0,0,1,0,0,1,0,0,0
5,18:30,,0,0,0,0,0,1,0,0,0,0,0,1
