jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence,nb_interventions_PLQ,nb_interventions_QS,nb_interventions_PQ
17,,15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,15:00,15:10,0,0,0,0,0,6,1,0,1,0,1,3,1,0,0
17,15:10,15:20,0,0,0,0,0,5,0,0,1,0,3,1,3,0,0
17,15:20,15:30,0,0,0,0,0,28,0,0,9,0,14,5,14,0,0
17,15:30,15:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,15:30,15:40,0,0,0,0,0,6,0,0,2,0,2,2,2,0,0
17,15:40,15:50,0,0,0,0,0,11,0,0,4,0,5,2,5,0,0
17,15:50,16:00,0,0,0,0,0,34,0,5,7,0,14,8,14,0,0
17,16:00,16:10,0,0,0,0,0,15,0,6,1,0,7,1,7,0,0
17,16:10,16:20,0,0,0,0,0,5,0,0,3,0,2,0,2,0,0
17,16:20,16:30,0,0,0,0,0,5,0,0,2,0,1,2,1,0,0
17,16:30,16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,16:30,16:39,1,0,0,0,0,14,0,0,6,0,3,5,3,0,0
17,16:39,17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17:00,17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17:15,17:20,0,0,0,0,0,22,0,0,2,0,10,10,10,0,0
17,17:20,17:30,0,0,1,0,0,38,0,0,19,0,17,2,17,0,0
17,17:30,17:30,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0
17,17:30,17:40,0,0,1,1,0,71,4,9,22,1,30,5,30,0,0
17,17:40,17:50,0,0,0,0,0,31,0,5,10,0,14,2,14,0,0
17,17:50,18:00,0,0,2,0,0,42,8,0,12,2,12,8,12,0,0
17,18:00,19:30,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0
17,19:30,19:30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,19:30,19:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,19:43,18:50,0,0,0,0,0,38,0,11,7,0,18,2,18,0,0
17,18:50,19:59,1,0,0,0,0,37,0,0,18,0,18,1,18,0,0
17,19:59,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,20:00,20:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,20:07,20:10,0,0,0,0,0,10,0,0,5,0,4,1,4,0,0
17,20:10,20:20,0,0,1,0,0,70,4,10,20,1,30,5,30,0,0
17,20:20,20:30,0,0,0,0,0,48,0,3,22,0,23,0,23,0,0
17,20:30,20:30,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0
17,20:30,20:40,0,0,0,0,0,54,0,6,21,0,26,1,26,0,0
17,20:40,20:50,0,0,2,0,0,81,8,16,17,2,31,7,31,0,0
17,20:50,20:51,1,0,0,0,0,6,0,0,3,0,2,1,2,0,0
17,20:51,20:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,20:56,21:00,0,0,0,0,0,13,0,0,5,0,5,3,5,0,0
17,21:00,21:10,0,0,0,0,0,12,0,0,8,0,4,0,4,0,0
17,21:10,21:20,0,0,0,0,0,38,0,0,18,0,19,1,19,0,0
17,21:20,21:30,0,0,3,0,0,57,12,0,19,3,17,6,17,0,0
17,21:30,21:30,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0
17,21:30,21:38,1,0,1,0,0,38,4,1,13,1,15,4,15,0,0
17,21:38,21:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,21:44,21:50,0,0,0,0,0,8,0,0,1,0,4,3,4,0,0
17,21:50,22:00,0,0,0,0,0,32,0,0,13,0,17,2,17,0,0
17,22:00,22:10,0,0,2,0,0,100,8,3,32,2,39,16,39,0,0
17,22:10,22:20,0,0,0,0,0,54,0,10,18,0,26,0,26,0,0
17,22:20,,0,0,1,0,0,67,4,6,18,1,30,8,30,0,0
