jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence,nb_interventions_PLQ,nb_interventions_QS,nb_interventions_PQ
18,,9:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9:30,9:50,0,0,0,0,0,36,2,2,12,0,13,7,13,0,0
18,9:50,9:51,1,0,0,0,0,8,0,0,4,0,3,1,3,0,0
18,9:51,10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10:00,10:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10:1,10:4,1,0,0,0,0,25,0,0,9,0,9,7,9,0,0
18,10:4,10:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10:6,10:6,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0
18,10:6,10:10,0,0,0,0,0,25,0,0,7,0,9,9,9,0,0
18,10:10,10:20,0,0,0,0,0,59,0,5,15,0,25,14,25,0,0
18,10:20,9:17,0,0,0,0,0,6,0,0,3,0,3,0,3,0,0
18,9:17,10:24,1,0,0,0,0,27,0,2,13,0,10,2,10,0,0
18,10:24,10:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10:30,10:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10:44,10:50,0,0,0,0,0,36,1,11,5,0,12,7,12,0,0
18,10:50,11:00,0,0,0,0,0,45,0,3,16,0,19,7,19,0,0
18,11:00,11:10,0,0,0,1,0,65,0,2,23,0,27,13,27,0,0
18,11:10,11:20,0,0,0,0,0,64,0,6,26,0,28,4,28,0,0
18,11:20,11:30,0,0,0,0,0,51,0,1,22,0,20,8,20,0,0
18,11:30,11:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,11:30,11:40,0,0,0,0,0,77,0,1,36,0,34,6,34,0,0
18,11:40,11:43,1,0,0,0,0,33,0,1,15,0,13,4,13,0,0
18,11:43,11:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,11:57,12:00,0,0,0,1,0,15,0,0,7,0,0,8,0,0,0
18,12:00,12:10,0,0,0,1,0,40,0,2,13,0,14,11,14,0,0
18,12:10,12:20,0,0,0,0,0,39,0,4,15,0,19,1,19,0,0
18,12:20,12:30,1,0,0,0,0,61,0,1,28,0,31,1,31,0,0
18,12:30,12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,12:30,12:30,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0
18,12:30,14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,14:00,14:5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,14:5,14:12,1,0,0,0,0,9,0,0,2,0,4,3,4,0,0
18,14:12,14:12,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0
18,14:12,14:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,14:30,14:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,14:36,14:40,0,0,0,1,0,15,0,0,6,0,3,6,3,0,0
18,14:40,14:50,1,0,0,1,0,59,0,11,14,0,24,10,24,0,0
18,14:50,15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,15:00,15:10,0,0,0,0,0,52,0,1,18,0,20,13,20,0,0
18,15:10,15:20,0,0,0,1,0,27,0,5,6,0,11,5,11,0,0
18,15:20,15:30,0,0,0,0,0,30,0,1,15,0,11,3,11,0,0
18,15:30,15:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,15:30,15:40,0,0,0,0,0,56,0,2,26,0,28,0,28,0,0
18,15:40,15:50,0,0,0,1,0,67,0,0,31,0,32,4,32,0,0
18,15:50,16:00,0,0,0,1,0,59,0,4,23,0,26,6,26,0,0
18,16:00,16:10,0,0,0,0,0,57,0,3,25,0,26,3,26,0,0
18,16:10,16:20,0,0,0,0,0,68,0,8,19,0,29,12,29,0,0
18,16:20,16:23,1,0,0,0,0,6,0,0,3,0,1,2,1,0,0
18,16:23,16:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,16:29,16:30,0,0,0,0,0,4,0,0,1,0,1,2,1,0,0
18,16:30,16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,16:30,16:38,1,0,0,0,0,47,0,0,22,0,20,5,20,0,0
18,16:38,16:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,16:57,17:00,0,0,0,0,0,10,0,1,3,0,5,1,5,0,0
18,17:00,17:10,0,0,0,0,0,48,0,1,24,0,20,3,20,0,0
18,17:10,17:20,0,0,0,0,0,54,0,3,21,0,21,9,21,0,0
18,17:20,17:30,0,0,0,1,0,51,0,8,19,0,21,3,21,0,0
18,17:30,17:30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,17:30,17:40,0,0,0,2,0,79,0,3,28,0,34,14,34,0,0
18,17:40,17:50,0,0,0,2,0,58,0,1,25,0,25,7,25,0,0
18,17:50,9:30,0,0,0,1,0,54,0,0,21,0,10,23,10,0,0
18,9:30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
